time (s)	Airway Pressure cmH2O	Airway Flow L/min
0	4.88	0.06
0.032	4.88	0.12
0.064	4.88	0.06
0.096	4.88	0.18
0.128	4.88	0
0.16	4.88	0.06
0.192	4.88	0
0.224	4.88	0
0.256	4.88	0
0.288	4.88	0
0.32	4.88	0
0.352	4.88	-0.06
0.384	4.88	-0.18
0.416	4.88	-0.06
0.448	4.88	-0.06
0.48	4.88	-0.18
0.512	4.88	-0.18
0.544	4.79	0
0.576	4.88	-0.18
0.608	4.88	-0.06
0.64	4.88	-0.18
0.672	4.88	0
0.704	4.88	-0.06
0.736	4.88	-0.06
0.768	4.88	-0.06
0.8	4.88	-0.06
0.832	4.88	-0.06
0.864	4.88	-0.06
0.896	4.88	-0.18
0.928000000000001	4.88	-0.06
0.960000000000001	4.88	0
0.992000000000001	4.88	-0.18
1.024	4.88	-0.18
1.056	4.88	-0.06
1.088	4.88	-0.06
1.12	4.88	-0.06
1.152	4.88	-0.06
1.184	4.79	0.12
1.216	4.88	-0.06
1.248	4.88	0
1.28	4.88	1.99
1.312	5.57	6.62
1.344	6.64	14.18
1.376	7.91	19.57
1.408	8.98	21.39
1.44	9.77	21.39
1.472	10.45	21.33
1.504	10.94	21.39
1.536	11.62	21.39
1.568	12.21	21.33
1.6	12.79	21.33
1.632	13.28	21.39
1.664	13.87	21.39
1.696	14.36	21.39
1.728	14.84	21.21
1.76	15.43	21.39
1.792	15.82	21.39
1.824	16.31	21.39
1.856	16.8	21.27
1.888	17.29	21.39
1.92	17.77	21.27
1.952	18.16	21.33
1.984	18.56	21.33
2.016	19.14	21.27
2.048	19.43	21.09
2.08	19.92	21.39
2.112	20.31	21.15
2.144	20.8	21.33
2.176	19.14	11.07
2.208	17.68	0.12
2.24	17.97	0
2.272	18.16	0
2.304	17.97	0
2.336	18.07	0
2.368	18.07	0
2.4	18.07	0
2.432	18.07	0
2.464	18.07	0
2.496	18.07	0
2.528	18.07	0
2.56	18.07	0
2.592	17.97	0
2.624	6.93	-73.54
2.656	2.64	-58.89
2.688	3.32	-43.3
2.72	4.39	-38.44
2.752	5.47	-33.28
2.784	5.96	-32.7
2.816	5.57	-32.7
2.848	5.18	-31.76
2.88	4.98	-30.47
2.912	4.88	-27.77
2.944	4.88	-25.25
2.976	4.79	-23.32
3.008	4.79	-21.09
3.04	4.79	-19.34
3.072	4.79	-17.23
3.104	4.59	-15.06
3.136	4.59	-13.07
3.168	4.59	-11.02
3.2	4.59	-8.61
3.232	4.59	-6.68
3.264	4.49	-3.52
3.296	4.49	-2.23
3.328	4.59	-1.17
3.36	4.49	-0.76
3.392	4.49	-0.23
3.424	4.49	-0.06
3.456	4.59	0.18
3.488	4.59	0.18
3.52	4.59	0.29
3.552	4.59	0.41
3.584	4.59	0.47
3.616	4.69	0.53
3.648	4.69	0.41
3.68	4.69	0.41
3.712	4.79	0.29
3.744	4.69	0.35
3.776	4.79	0.35
3.808	4.79	0.29
3.84	4.79	0.29
3.872	4.79	0.12
3.904	4.79	0.12
3.936	4.79	0.12
3.968	4.79	0.18
4	4.88	0.12
4.032	4.88	0.12
4.064	4.88	-0.06
4.096	4.79	-0.06
4.128	4.88	0.06
4.16	4.88	0
4.192	4.88	0.12
4.224	4.79	0
4.256	4.88	0
4.288	4.88	0.06
4.32	4.88	0
4.352	4.88	0
4.384	4.88	0.06
4.416	4.88	-0.06
4.448	4.88	-0.06
4.48	4.88	0.06
4.512	4.88	0
4.544	4.88	-0.06
4.576	4.88	-0.06
4.608	4.88	-0.06
4.64	4.88	-0.06
4.672	4.88	-0.06
4.704	4.79	-0.06
4.736	4.88	-0.06
4.768	4.88	-0.06
4.8	4.88	-0.06
4.832	4.88	0
4.864	4.88	-0.06
4.896	4.88	-0.06
4.928	4.88	-0.06
4.96	4.88	0.06
4.992	4.88	0
5.024	4.88	0
5.056	4.88	0
5.088	4.88	-0.06
5.12	4.88	-0.06
5.152	4.88	-0.06
5.184	4.79	0.06
5.216	4.88	-0.06
5.248	4.88	0
5.28	4.88	-0.06
5.312	5.57	6.27
